Country,Year,Code,GDP_per_capital,Tb_new_cases,Tb_deaths,Health_exp_gdp_percent,Treatment_success_rate,mortality_rate
Argentina,2000,ARG,22281.38,14000,1100,4.499,47,
Argentina,2001,ARG,21066.459,13000,1000,4.594,61,
Argentina,2002,ARG,18571.701,13000,1000,4.034,58,
Argentina,2003,ARG,20005.139,13000,960,3.774,66,
Argentina,2004,ARG,21591.45,13000,900,3.746,57,
Argentina,2005,ARG,23262.408,12000,900,3.915,46,
Argentina,2006,ARG,24877.25,11000,870,4.019,55,
Argentina,2007,ARG,26850.664,12000,900,4.257,60,
Argentina,2008,ARG,27658.484,11000,790,4.509,38,
Argentina,2009,ARG,25747.197,8900,790,5.672,43,
Argentina,2010,ARG,28056.258,8500,700,5.572,45,
Argentina,2011,ARG,29425.76,11000,840,5.688,49,
Argentina,2012,ARG,28825.967,10000,780,6.144,56,
Argentina,2013,ARG,29227.66,10000,810,6.264,51,
Argentina,2014,ARG,28200.814,11000,780,6.361,52,
Argentina,2015,ARG,28669.207,11000,800,6.853,47,
Argentina,2016,ARG,27802.105,12000,830,5.619,54,
Argentina,2017,ARG,28334.904,12000,770,6.644,57,
Argentina,2018,ARG,27367.115,12000,810,5.883,54,
Argentina,2019,ARG,26629.553,13000,820,5.857,47,
Argentina,2020,ARG,23877.094,13000,870,6.644,46,
Argentina,2021,ARG,26300.273,13000,900,6.25,48,
Australia,2000,AUS,44347.07,1200,72,5.189,72,
Australia,2001,AUS,44667.926,1100,100,5.2,70,
Australia,2002,AUS,45920.18,1200,81,5.402,78,
Australia,2003,AUS,46798.09,1100,65,5.36,80,
Australia,2004,AUS,48256.25,1200,75,5.524,91,
Australia,2005,AUS,49176.06,1200,71,5.448,85,
Australia,2006,AUS,49853.72,1300,69,5.445,85,
Australia,2007,AUS,50799.26,1300,59,5.58,85,
Australia,2008,AUS,51577.074,1400,72,5.691,81,
Australia,2009,AUS,51481.25,1500,65,5.92,80,
Australia,2010,AUS,51811.78,1400,62,5.778,82,
Australia,2011,AUS,52326.766,1400,63,5.906,78,
Australia,2012,AUS,53435.18,1500,38,5.855,82,
Australia,2013,AUS,53890.105,1400,58,5.681,85,
Australia,2014,AUS,54470.16,1500,51,6.638,79,
Australia,2015,AUS,54867.773,1400,57,6.978,73,
Australia,2016,AUS,55507.977,1600,55,6.941,78,
Australia,2017,AUS,55846.03,1600,56,6.98,82,
Australia,2018,AUS,56600.438,1700,60,6.992,79,
Australia,2019,AUS,56981.395,1700,60,7.347,86,
Australia,2020,AUS,56215.58,1900,60,7.671,90,
Australia,2021,AUS,57321.562,1700,61,7.765,88,
Austria,2000,AUT,54116.547,1400,89,6.952,73,
Austria,2001,AUT,54619.77,1200,68,6.953,64,
Austria,2002,AUT,55158.492,1200,78,7.027,78,
Austria,2003,AUT,55517.06,1100,55,7.112,68,
Austria,2004,AUT,56589.035,1000,54,7.125,70,
Austria,2005,AUT,57508.98,1100,62,7.122,71,
Austria,2006,AUT,59096.01,980,63,7.091,71,
Austria,2008,AUT,61823.1,870,54,7.29,70,
Austria,2009,AUT,59450.027,760,52,7.68,70,
Austria,2010,AUT,60380.14,760,43,7.63,75,
Austria,2011,AUT,61938.617,770,60,7.481,72,
Austria,2012,AUT,62044.215,710,46,7.617,69,
Austria,2013,AUT,61524.96,720,72,7.612,72,
Austria,2014,AUT,61507.38,650,74,7.673,74,
Austria,2015,AUT,61614.56,650,67,7.678,73,
Austria,2016,AUT,62242.336,710,42,7.657,75,
Austria,2017,AUT,63216.0,650,39,7.686,69,
Austria,2018,AUT,64471.633,540,51,7.727,73,
Austria,2019,AUT,65312.023,530,43,7.873,74,
Austria,2020,AUT,60931.94,440,43,8.707,70,
Austria,2021,AUT,63576.242,450,43,9.504,75,
Belgium,2000,BEL,51482.816,1500,120,5.968,66,
Belgium,2001,BEL,51870.207,1500,120,6.146,64,
Belgium,2002,BEL,52519.62,1400,100,6.139,69,
Belgium,2003,BEL,52843.062,1200,110,6.783,73,
Belgium,2004,BEL,54493.844,1300,92,6.986,60,
Belgium,2005,BEL,55453.184,1200,100,6.889,58,
Belgium,2006,BEL,56494.69,1200,75,6.801,61,
Belgium,2007,BEL,58143.42,1100,99,6.769,68,
Belgium,2008,BEL,57943.715,1100,91,7.259,45,
Belgium,2009,BEL,56383.56,1100,69,7.864,78,
Belgium,2010,BEL,57385.035,1200,75,7.768,78,
Belgium,2011,BEL,57737.16,1100,64,7.882,80,
Belgium,2012,BEL,57504.03,1000,68,8.02,77,
Belgium,2013,BEL,57408.477,1000,64,8.025,79,
Belgium,2014,BEL,58163.266,1000,48,8.067,81,
Belgium,2015,BEL,58679.684,1100,67,8.237,79,
Belgium,2016,BEL,59080.15,1100,39,8.276,82,
Belgium,2017,BEL,59720.76,1100,39,8.279,79,
Belgium,2018,BEL,60565.98,1000,40,8.311,82,
Belgium,2019,BEL,61711.113,1000,40,8.089,81,
Belgium,2020,BEL,58500.633,890,40,8.796,67,
Belgium,2021,BEL,61873.965,940,40,8.462,78,
Brazil,2000,BRA,14005.348,90000,8800,3.47,71,
Brazil,2001,BRA,14016.132,86000,8300,3.513,55,
Brazil,2002,BRA,14265.905,94000,7900,3.686,80,
Brazil,2003,BRA,14259.366,97000,7700,3.51,77,
Brazil,2004,BRA,14911.261,100000,7700,3.467,72,
Brazil,2005,BRA,15221.014,93000,7200,3.345,72,
Brazil,2006,BRA,15657.4795,87000,7100,3.542,69,
Brazil,2007,BRA,16440.584,87000,7000,3.485,72,
Brazil,2008,BRA,17113.367,89000,7200,3.505,69,
Brazil,2009,BRA,16939.441,88000,7100,3.708,70,
Brazil,2010,BRA,18062.158,87000,8200,3.577,72,
Brazil,2011,BRA,18627.81,88000,8000,3.467,73,
Brazil,2012,BRA,18832.219,88000,7800,3.356,72,
Brazil,2013,BRA,19241.506,89000,7900,3.556,72,
Brazil,2014,BRA,19183.172,88000,7600,3.709,71,
Brazil,2015,BRA,18357.068,87000,7300,3.861,71,
Brazil,2016,BRA,17620.928,88000,7100,3.952,72,
Brazil,2017,BRA,17724.48,92000,7200,3.959,71,
Brazil,2018,BRA,17917.75,96000,7100,3.897,71,
Brazil,2019,BRA,18018.621,96000,7000,3.93,69,
Bulgaria,2005,BGR,17811.666,4100,290,4.128,88,
Bulgaria,2006,BGR,19168.354,4000,290,3.659,85,
Bulgaria,2007,BGR,20594.764,3600,300,3.457,82,
Bulgaria,2008,BGR,22011.092,3800,250,3.532,85,
Bulgaria,2009,BGR,21411.86,3400,220,3.583,87,
Bulgaria,2010,BGR,21888.504,3100,210,3.932,87,
Bulgaria,2011,BGR,22489.762,2800,180,3.86,86,
Bulgaria,2012,BGR,22789.791,2700,180,3.845,87,
Bulgaria,2013,BGR,22793.305,2500,160,4.056,85,
Bulgaria,2014,BGR,23140.871,2300,130,4.493,86,
Bulgaria,2015,BGR,24080.256,2100,120,4.15,84,
Bulgaria,2016,BGR,24983.693,1900,120,4.129,85,
Bulgaria,2017,BGR,25857.916,1800,100,4.224,84,
Bulgaria,2018,BGR,26709.322,1600,99,4.332,86,
Bulgaria,2019,BGR,27917.12,1400,99,4.297,82,
