Country,Year,Code,GDP_per_capital,Tb_new_cases,Tb_deaths,Health_exp_gdp_percent,Treatment_success_rate,mortality_rate,health_exp
Argentina,2000,ARG,22281.38,14000,1100,4.499,47,7.857142857,1002.439286
Argentina,2001,ARG,21066.459,13000,1000,4.594,61,7.692307692,967.7931265
Argentina,2002,ARG,18571.701,13000,1000,4.034,58,7.692307692,749.1824183
Argentina,2003,ARG,20005.139,13000,960,3.774,66,7.384615385,754.9939459
Argentina,2004,ARG,21591.45,13000,900,3.746,57,6.923076923,808.815717
Argentina,2005,ARG,23262.408,12000,900,3.915,46,7.5,910.7232732
Argentina,2006,ARG,24877.25,11000,870,4.019,55,7.909090909,999.8166775
Argentina,2007,ARG,26850.664,12000,900,4.257,60,7.5,1143.032766
Argentina,2008,ARG,27658.484,11000,790,4.509,38,7.181818182,1247.121044
Argentina,2009,ARG,25747.197,8900,790,5.672,43,8.876404494,1460.381014
Argentina,2010,ARG,28056.258,8500,700,5.572,45,8.235294118,1563.294696
Argentina,2011,ARG,29425.76,11000,840,5.688,49,7.636363636,1673.737229
Argentina,2012,ARG,28825.967,10000,780,6.144,56,7.8,1771.067412
Argentina,2013,ARG,29227.66,10000,810,6.264,51,8.1,1830.820622
Argentina,2014,ARG,28200.814,11000,780,6.361,52,7.090909091,1793.853779
Argentina,2015,ARG,28669.207,11000,800,6.853,47,7.272727273,1964.700756
Argentina,2016,ARG,27802.105,12000,830,5.619,54,6.916666667,1562.20028
Argentina,2017,ARG,28334.904,12000,770,6.644,57,6.416666667,1882.571022
Argentina,2018,ARG,27367.115,12000,810,5.883,54,6.75,1610.007375
Argentina,2019,ARG,26629.553,13000,820,5.857,47,6.307692308,1559.692919
Argentina,2020,ARG,23877.094,13000,870,6.644,46,6.692307692,1586.394125
Argentina,2021,ARG,26300.273,13000,900,6.25,48,6.923076923,1643.767063
Australia,2000,AUS,44347.07,1200,72,5.189,72,6,2301.169462
Australia,2001,AUS,44667.926,1100,100,5.2,70,9.090909091,2322.732152
Australia,2002,AUS,45920.18,1200,81,5.402,78,6.75,2480.608124
Australia,2003,AUS,46798.09,1100,65,5.36,80,5.909090909,2508.377624
Australia,2004,AUS,48256.25,1200,75,5.524,91,6.25,2665.67525
Australia,2005,AUS,49176.06,1200,71,5.448,85,5.916666667,2679.111749
Australia,2006,AUS,49853.72,1300,69,5.445,85,5.307692308,2714.535054
Australia,2007,AUS,50799.26,1300,59,5.58,85,4.538461538,2834.598708
Australia,2008,AUS,51577.074,1400,72,5.691,81,5.142857143,2935.251281
Australia,2009,AUS,51481.25,1500,65,5.92,80,4.333333333,3047.69
Australia,2010,AUS,51811.78,1400,62,5.778,82,4.428571429,2993.684648
Australia,2011,AUS,52326.766,1400,63,5.906,78,4.5,3090.4188
Australia,2012,AUS,53435.18,1500,38,5.855,82,2.533333333,3128.629789
Australia,2013,AUS,53890.105,1400,58,5.681,85,4.142857143,3061.496865
Australia,2014,AUS,54470.16,1500,51,6.638,79,3.4,3615.729221
Australia,2015,AUS,54867.773,1400,57,6.978,73,4.071428571,3828.6732
Australia,2016,AUS,55507.977,1600,55,6.941,78,3.4375,3852.808684
Australia,2017,AUS,55846.03,1600,56,6.98,82,3.5,3898.052894
